AWB,ConsigneeCompany,ConsigneeAddr1,ConsigneePostal,KiloWgt,SelectCd,PieceQty,CommitDate,DestLocCd,CourierRoute
7.76E+11,FNA MARKETING(M) SDN BHD,"NO.3.,JALAN KENCANA 20, TAMAN KENC",56100,5,"PND,DR",1,19/9/2003,KUL,
7.76E+11,ELLEDI (M) SDN BHD,11JALAN SUNGAI JELUH 32191 KAWASAN,40460,333,"PND,DR",4,19/9/2003,XKL,880
7.76E+11,RAMATEX TEXTILES INDUSTRIAL,SRI GADING INDUSTRIAL ESTATE,83000,0.5,DR,1,19/9/2012,BTU,
7.90E+11,TECUMSEH EURO MALAYSIA,"NO 18, JALAN SULTAN MOHAMED 4,",42000,20,DR,1,19/9/2010,XKL,KAPAR+
8.12E+11,MATRADE,MENARA MATRADE JALAN SULTAN HAJI A,50480,44.6,DR,1,19/9/2010,KUL,823
7.76E+11,TM OILFIELD SERVICES SDN BHD,"4TH FLOOR, SOUTH BLOCK",50450,150,DR,1,19/9/2010,KUL,880
7.76E+11,MENARA SAPURAKENCANA PETROLEUM,"LVL 6, NORTH WING, SAPURAMINES",43300,22,DR,5,19/9/2010,KUL,880
7.76E+11,FDX EXP KUL CUSTOMS,KL INTERNATIONAL AIRPORT,64000,0.2,DR,1,19/9/2010,MKZ,
7.76E+11,FSTC IMPORT AND EXPORT,"JALAN BALAKONG JAYA 3,",43300,150,DR,4,19/9/2013,KUL,880
4.94E+11,HENKEL THAILAND LTD,WATCHARIN LOYKLUNG,20000,0.8,MIS,1,19/9/2013,KBR,
7.90E+11,MOHD FARID ARIFIN,MOHD FARID ARIFIN NO 5 JALAN DESA,43000,0.2,"PND,DR",1,19/9/2013,RDN,
7.76E+11,EMPIRE INTERNATIONAL SDN BHD,LOT NO. 1723 BATU 9 1/4 JALAN KAPA,42200,0.6,"C1,DIA",1,19/9/2013,XKL,KAPAR+
7.06E+11,FREESCALE SEMICONDUCTOR M S/B,NO 2 JLN SS 8/2,47300,20.4,C8,5,19/9/2018,XKL,880
1.14E+11,EDARAN PRESTASI SDN BHD,LOT 281 JALAN SUBANG 7 TAMAN,47620,22,"PW,DT",10,19/9/2012,XKL,880
1.18E+11,KLM ROYAL DUTCH AIRLINES,KLAS CARGO TERMINAL BUILDING,64000,2,FCZ,1,19/9/2010,MKZ,
7.90E+11,MIROLJUB STOJANOVIC,05-1 DESA ANGKASA CONDOMINIUM,55000,0.5,DR,1,19/9/2017,KUL,813+
7.76E+11,SKK GLOBAL ENTERPRISE,LOT F1 FORWARDERS BUILDING KLAS,64000,11.3,FCZ,1,19/9/2012,MKZ,
1.04E+11,,"A-3A-03, PELANGI UTAMA CONDOMINIUM",47400,77,"DIA,C1",5,19/9/2017,XKL,880
4.95E+11,LIONEL WONG,8 JALAN PJU8/1,47820,20,"C1,EX",3,19/9/2017,XKL,979976
7.76E+11,KUMPULAN ABEX SDN BHD,LOT 2-6 JALAN SU/6A LION,40400,333,C1,5,19/9/2017,XKL,880
7.76E+11,ATLAS LINES SERVICES(M)SDNBHD,"LOT D12, BLOCK D, FREE COMMERCIAL",64000,1.5,FCZ,1,19/9/2011,MKZ,
7.76E+11,CLASSITA (M) SDN. BHD.,"LOT. 2661, 3RD MILE",36000,0.5,"PND,DR",1,19/9/2017,SZB,
1.22E+11,ONCOGEN PHARMA (MALAYSIA) SDN BHD,"3, JLN JURURANCANG U1/21,HICOM GLEN",40150,231.3,"C1,DT",22,19/9/2012,XKL,833
7.76E+11,SHASHINKI SDN BHD,"69, JALAN FLORA 1/9,",81300,3.9,"C1,DIA",1,19/9/2017,JHB,
7.76E+11,FOREST CITY SALES GALLERY,CGPV GALERI JUALAN MAHKOTA SELATAN,88050,4.5,DR,1,19/9/2013,JHB,
7.90E+11,,"73, JALAN DURIAN 2 TAMAN CHERAS ,5",56100,22.4,"PL,C1",55,19/9/2017,KUL,833
7.90E+11,,05-1 DESA ANGKASA CONDOMINIUM,55000,1.5,"C1,DIA",1,19/9/2017,KUL,813+
1.17E+11,,30-10 DUA SENTRAL RESIDENTIAL,50470,33.2,"C1,PL",44,19/9/2017,KUL,833
6.42E+11,MCDERMOTT,"LEVEL 24 MENARA HAP SENG, 2,",50250,666,"C1,DIA",1,19/9/2017,KUL,823+
7.05E+11,RED ARMY WATCHES SDN BHD,"15-02, 15TH FLOOR MENARA K1 01",58000,277.3,"DIA,C1",2,19/9/2017,KUL,823
7.90E+11,WANG KEN LONG,302 JOLAN TENGAN,47000,5,"DR,PND",1,19/9/2013,XKL,985982
1.22E+11,BRENNTAG SDN BHD,"LOT PT 55, 64 65, JALAN HULU",40400,0.5,"C1,DT",1,19/9/2017,XKL,921926
7.90E+11,,"7, JALAN 4/109C, TAMAN BUKIT DESA",58100,555,"C1,DIA",1,19/9/2017,KUL,823
4.74E+11,INTEL,NO 2 JALAN SAGA 1,68000,343,"C1,PL",1,19/9/2017,KUL,823
4.74E+11,INTEL,7 JALAN PERDANA 4,84000,1.4,"C1,PL",1,19/9/2017,MUR,
4.74E+11,INTEL,7 JALAN PERDANA 4,84000,1.4,PW,1,19/9/2017,MUR,
4.74E+11,INTEL,D-2-2 KUARTERS INSTITUSI,48000,55.5,"C1,PL",1,19/9/2017,XKL,823
7.90E+11,SCHOLASTIC ASIA,"LEVEL 7, PLAZA FIRST NATIONWIDE",50000,22.1,DR,1,19/9/2017,KUL,823
7.90E+11,FARAH MOHAMAD,53 JALAN PUTRA MURNI 3/2C,47650,0.5,"C1,PL",1,19/9/2017,XKL,927928
1.12E+11,AHMAD JAMAL AHMAD TBARANI,B82 GROUND FLOOR SRI DAGANGAN 2 JA,25000,0.8,"C1,DIA",1,19/9/2017,KUA,
7.90E+11,COUNTRY GARDEN PACIFICVIEW SDN BHD,"JALAN FOREST CITY 1, PULAU SATU",88050,3.5,DR,1,19/9/2017,JHB,
1.03E+11,STEVIE HEONG HOONG,"56, JALAN BU 3/4",47800,222,"C1,PL",3,19/9/2017,XKL,880
1.12E+11,LILIAN AU YONG,22ND FLOOR MENARA KH,50250,4.4,"C1,DIA",1,19/9/2017,KUL,823
4.67E+11,,"20, LORONG BUKIT PANTAI 2,",59100,7.3,"PL,C1",1,19/9/2017,KUL,823
1.11E+11,POREX TECHNOLOGIES SDN BHD,"LOT PT 74, JALAN HULU TINGGI 26/6",40400,0.1,DR,1,19/9/2013,XKL,921926
7.76E+11,JP MORGAN CHASE BERHAD,348 JALAN TUN RAZAK,50400,333,DR,5,19/9/2017,KUL,880
7.90E+11,,"NO. 10 JALAN ELEKTRON U16/50E,",40160,25.3,"C1,DIA",1,19/9/2017,XKL,823
7.90E+11,,"LOT 7520, TAMAN LIMBONG JAYA 3/2",23100,1.1,"DT,C1",1,19/9/2018,KBR,
7.76E+11,VME TS,B09-01/02/03 SKYPARK ONE CITY,47630,0.5,DR,1,19/9/2012,XKL,939934
1.12E+11,GANESH PRASAD,TAMAN GOMBAK PERMAI,68100,34.5,"C1,DIA",1,19/9/2017,KUL,823
7.76E+11,,"5, JALAN TEBING TIGA, 8/8C",40000,0.5,PW,1,19/9/2023,XKL,911912
8.13E+11,SUMITEC SDN BHD,NO . 35 JALAN TIONG,81100,0.5,DR,1,19/9/2012,JHB,
7.76E+11,AMH TECHNOLOGIES SDN BHD,"NO. 6A, JALAN GAMBUS 33/4,",40400,22.7,"C1,DIA",1,19/9/2017,XKL,925928
7.27E+11,STRYKER CORPORATION (M) SDN BHD,"100.6.001&100.6.003,129 OFFICERS,",46200,168.2,"PL,C1",1,19/9/2017,XKL,823
7.90E+11,,AVANI SEPANG GOLDCOAST RESORT,43950,2.6,"C1,DIA",1,19/9/2018,SZB,
1.23E+11,THE CHURCH OF JESUS CHRIST OF LDS,"BLOCK A -2-27, DELTA HEIGHTS APART",88300,2.7,"C1,PL",1,19/9/2018,BKI,
1.23E+11,SIBU MALAYSIA DISTRICT,"1A, LORONG PERMAI UTARA 4B",96000,2.7,"C1,DT",1,19/9/2019,ODN,
1.23E+11,,"20, VILLA MONT KIARA, JALAN KIARA",50480,22,"C1,DT",10,19/9/2017,KUL,880
1.23E+11,,"NO 43. JALAN HARMONIUM 23/6,, TAMA",81100,11.3,"C1,DT",1,19/9/2017,JHB,
1.23E+11,MIRI MALAYSIA DISTRICT,"SMK LUAK, JALAN BAKAM",98000,2.7,"C1,DT",1,19/9/2019,ODN,
1.15E+11,GES MANUFACTURING SERVICES M SDN BHD,PLO 34 FASA II KAWASAN,81400,50.8,"C1,DT",7,19/9/2017,JHB,
7.76E+11,A N MARKETING,"LOT B, B7B2,MAS CARGO AGENT CMPLX",64000,135,FCZ,9,19/9/2017,MKZ,
7.76E+11,COCOALAND INDUSTRY SDN BHD,"LOT 100, 823 INTEGRATED",48000,436.7,"C1,DT",1,19/9/2017,XKL,823
1.14E+11,INFASTECH (MALAYSIA) SDN BHD,"LOT 63, PERSIARAN BUNGA TANJUNG 1,S",70400,1.4,"C1,DT",1,19/9/2017,RDN,
7.76E+11,LE MERIDIEN KUALA LUMPUR,"2 JALAN STESEN SENTRAL, KUALA",50470,2.3,"C1,PL",1,19/9/2017,KUL,823
1.12E+11,HAZEL FONG,LOT 390 HILLTOP SELATAN 1,98000,1,"C1,DIA",1,19/9/2019,ODN,
7.90E+11,DHL EXPRESS SDN BHD,3509 3511 JALAN TEKNOKRAT 5,63000,1.1,"C1,DIA",1,19/9/2017,XKL,969938
7.90E+11,"B8/5/5,",ONE AMPANG BUSINESS AVENUE,68000,66,"DT,C1",9,19/9/2017,KUL,880
6.77E+11,ARACHEM M SDN BHD,"11, PERSIARAN INDUSTRI",52200,5.7,"C1,PL",1,19/9/2017,KUL,844+
7.90E+11,,UNIT 0806 LEVEL 8 BAYSHORE,88400,4.9,"C1,DIA",3,19/9/2018,BKI,
7.76E+11,SKK GLOBAL ENTERPRISE,LOT F1 FORWARDERS BUILDING KLAS,64000,2.7,FCZ,1,19/9/2012,MKZ,
7.90E+11,,"BLOCK A 1-01 JALAN SP 19, TAMAN",47000,5.3,DIA,1,19/9/2017,XKL,985982
1.23E+11,KUCHING MALAYSIA DISTRICT,"NO. 72 LORONG 3, JALAN STAMPIN BAR",93350,2.7,"DT,PW",1,19/9/2018,KCH,
1.14E+11,,"TWENTY LOGISTIC TRADING,",64000,8.8,FCZ,1,19/9/2017,MKZ,
1.12E+11,MUHD HANAFIAH,B-1-2 PANGSAPURI AKASIA BERJAYA PA,40460,0.4,"C1,PL",1,19/9/2017,XKL,929928
7.90E+11,,"LEVEL 11, LOT PT 2811, WISMA 99",41150,5.2,"C1,DIA",1,19/9/2017,XKL,917912
7.90E+11,,"5, JLN 64, FLAT WANITA, RANTAU",24300,2,"C1,DIA",1,19/9/2018,KBR,
7.90E+11,,102 TAMAN ASEAN,75250,2.6,"C1,DIA",1,19/9/2017,MKZ,
7.90E+11,,"NO 46, JALAN 1/155A BUKIT OUG",58200,432.1,DR,1,19/9/2017,KUL,823
7.76E+11,SERVICESOURCE,"1 MONT KIARA, 1 JALAN KIARA MONT K",50480,111,DR,10,19/9/2017,KUL,880
1.12E+11,KAH SENG LOH,3 JALAN 14/48,46100,54.8,"C1,PL",2,19/9/2017,KUL,833
7.76E+11,SKK GLOBAL ENTERPRISE,LOT F1 FORWARDERS BUILDING KLAS,64000,2.7,FCZ,1,19/9/2012,MKZ,
7.76E+11,VITALTECH SERVICES SDN BHD,48-2JALAN METRO PERDANA TIMUR 10,52100,1.4,"C1,DIA",1,19/9/2017,KUL,840
7.76E+11,MESSRS YIN CHAMBERS,"NO.1, JALAN USJ 3A/8",47610,0.2,DR,1,19/9/2012,XKL,823
7.90E+11,,30 JALAN TR 9/1 TROPICANA GOLF,47410,2.8,"PL,C1",1,19/9/2017,XKL,955956
1.23E+11,,"NO: 31, JALAN TMR 4,, TAMAN TANJUN",75250,16.8,"DT,C1",1,19/9/2017,MKZ,
1.23E+11,,"18, JALAN U-THANT, BLOCK B",55000,39,"C1,DT",3,19/9/2017,KUL,813
1.23E+11,PETALING JAYA BRANCH,"9, LORONG JELUTONG KANAN",50490,33.6,"C1,DT",2,19/9/2017,KUL,823
1.23E+11,,"65, JALAN ANGGERIK VANILLA 31/98R,",40460,22.2,"C1,DT",2,19/9/2017,XKL,925928
1.23E+11,KUCHING 2ND BRANCH (ENGLISH),"157,LORONG SAMARAX, 13E1",94300,30.8,"C1,DT",2,19/9/2019,KCH,
1.23E+11,MALAYSIA,"LOT 11621 JALAN MERANTI 6, KAMPUNG",47120,59.3,"C1,DT",6,19/9/2017,XKL,880
7.76E+11,SKK GLOBAL ENTERPRISE,LOT F1 FORWARDERS BUILDING KLAS,64000,4.5,FCZ,1,19/9/2012,MKZ,
7.90E+11,,"D-2-4, SETIAWALK, PUSAT BANDAR",47160,5.2,"C1,DIA",4,19/9/2017,XKL,960936
7.90E+11,,"10 JALAN MUTIARA BARAT 2, TAMAN",56000,121.9,"DIA,C1",15,19/9/2017,KUL,833
7.90E+11,,"D-1-8, EASTLAKE RESIDENCE",43300,49.1,"DIA,C1",1,19/9/2017,KUL,823
7.76E+11,SOLMAX INTERNATIONAL ASIA PACIFIC S,"LOT 28, JALAN SUNGAI PINANG 4/2,TMN",42920,2,"C1,DT",1,19/9/2018,XKL,997918
6.52E+11,BAT ASPAC SERVICE CENTRE SDN BHD,"REGIONAL PRODUCT CENTRE ,WISMA GUO",50490,365.1,DR,1,19/9/2017,KUL,823
7.90E+11,,"NO 33, JALAN PELUKIS U1/46",40150,444,"C1,DIA",4,19/9/2017,XKL,833
7.90E+11,,"LOT 7520, TAMAN LIMBONG JAYA 3/2",23100,1.9,"DT,C1",1,19/9/2018,KBR,
4.94E+11,DNP IMAGINGCOMM ASIA SDN BHD,PLO 676 JALAN NIKEL4,81700,2.3,"DT,C1",1,19/9/2017,JHB,
7.90E+11,LESOSHOPPE SDN BHD,"LOT 12A JALAN GITAR 33/3,",40350,2.3,"C1,DT",1,19/9/2017,XKL,925928
7.90E+11,,"NO. 10, JALAN SERI PUTRA",43000,0.5,"PL,C1",1,19/9/2017,RDN,
